,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
113699,2,2016-06-01 05:14:35,2016-06-01 05:38:49,1,19.56,-73.96417236328125,40.79246520996094,2,N,-73.80480194091797,40.65008544921875,1,52.0,0.0,0.5,9.0,5.54,0.3,67.34
113705,1,2016-06-01 05:14:39,2016-06-01 05:43:13,2,17.9,-73.97727966308595,40.762107849121094,2,N,-73.78265380859375,40.6488037109375,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
113708,2,2016-06-01 05:14:43,2016-06-01 05:43:28,6,18.38,-74.0025405883789,40.73419189453125,2,N,-73.78868865966798,40.641448974609375,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
113717,1,2016-06-01 05:14:51,2016-06-01 05:43:54,2,19.0,-73.96652221679686,40.8045310974121,2,N,-73.77637481689453,40.64507675170898,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
113725,1,2016-06-01 05:15:01,2016-06-01 05:39:49,1,19.2,-73.9623794555664,40.773193359375,2,N,-73.78549194335938,40.64320755004883,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
113740,1,2016-06-01 04:46:14,2016-06-01 05:26:53,1,19.3,-74.00243377685547,40.7498779296875,2,Y,-73.79071044921875,40.64671325683594,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
113747,1,2016-06-01 04:46:30,2016-06-01 05:13:20,1,20.8,-74.00739288330078,40.706367492675774,2,N,-73.77827453613281,40.64497756958008,1,52.0,0.0,0.5,6.0,0.0,0.3,58.8
113754,1,2016-06-01 04:46:40,2016-06-01 05:16:44,1,20.5,-73.96832275390625,40.764808654785156,2,N,-73.7843017578125,40.64335250854492,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89
113758,2,2016-06-01 04:46:45,2016-06-01 05:13:39,5,18.01,-73.95099639892578,40.82586669921875,2,N,-73.7968521118164,40.64457321166992,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
113795,1,2016-06-01 04:09:59,2016-06-01 04:33:44,1,19.0,-73.94852447509766,40.77389144897461,2,N,-73.7838134765625,40.6435775756836,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
113805,1,2016-06-01 04:10:11,2016-06-01 04:40:08,2,19.3,-73.95525360107422,40.82005310058594,2,N,-73.77629852294923,40.645820617675774,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89
113827,1,2016-06-01 03:40:28,2016-06-01 04:07:01,1,18.4,-73.94783782958984,40.78335189819336,2,N,-73.77631378173827,40.64557647705078,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
